medicine_name,eml_section,indication,criticality
Poliomyelitis Vaccine,Immunologicals > Vaccines,Need for immunization against poliomyelitis,3
Human Papilloma Virus (Hpv) Vaccine,Immunologicals > Vaccines,Need for immunization against certain single viral diseases,3
Rifapentine,Antituberculosis medicines,Tuberculosis,3
Mpox Vaccine,Immunologicals > Vaccines,Need for immunization against certain single viral diseases,3
Artesunate + Mefloquine,Antimalarial medicines > Medicines for curative treatment,Malaria due to Plasmodium falciparum,3
Valsartan + Amlodipine + Hydrochlorothiazide,Antihypertensive medicines,Essential hypertension,2
Pneumococcal Vaccine,Immunologicals > Vaccines,Need for immunization against single bacterial diseases,3
Pretomanid,Antituberculosis medicines,Multi-drug resistant Mycobacterium tuberculosis,3
Bedaquiline,Antituberculosis medicines,Multi-drug resistant Mycobacterium tuberculosis,3
Imipenem + Cilastatin,Antituberculosis medicines,Multi-drug resistant Mycobacterium tuberculosis,3
Flucloxacillin,Access group antibiotics,Osteomyelitis or osteitis,3
Terizidone,Antituberculosis medicines,Multi-drug resistant Mycobacterium tuberculosis,3
Meropenem,Antituberculosis medicines,Multi-drug resistant Mycobacterium tuberculosis,3
Quinine,Antimalarial medicines > Medicines for curative treatment,Malaria due to Plasmodium falciparum,3
Hydralazine,Antihypertensive medicines,Gestational hypertension,2
Clofazimine,Antituberculosis medicines,Multi-drug resistant Mycobacterium tuberculosis,3
Isoniazid + Pyrazinamide + Rifampicin,Antituberculosis medicines,Tuberculosis,3
Artemether,Antimalarial medicines > Medicines for curative treatment,Malaria due to Plasmodium falciparum,3
Rabies Vaccine,Immunologicals > Vaccines,Need for immunization against rabies,3
Mebendazole,Intestinal anthelminthics,Ascariasis,1
Phenytoin,Antiseizure medicines,Epilepsy or seizures,2
Ethionamide,Antituberculosis medicines,Tuberculous meningitis,3
Umeclidinium,Antiasthmatic and medicines for chronic obstructive pulmonary disease,Chronic obstructive pulmonary disease,2
Spectinomycin,Access group antibiotics,Gonococcal infection,3
Prednisolone,Antiseizure medicines,Infantile spasms,2
Chloroquine,Antimalarial medicines > Medicines for curative treatment,Malaria due to Plasmodium vivax,3
Influenza Vaccine (Seasonal),Immunologicals > Vaccines,Need for immunization against influenza,3
Amoxicillin,Access group antibiotics,Acute pharyngitis,3
Budesonide + Salmeterol,Antiasthmatic and medicines for chronic obstructive pulmonary disease,Asthma,2
Mometasone + Formoterol,Antiasthmatic and medicines for chronic obstructive pulmonary disease,Asthma,2
Pertussis Vaccine,Immunologicals > Vaccines,Need for immunization against pertussis alone,3
Typhoid Vaccine,Immunologicals > Vaccines,Need for immunization against typhoid-paratyphoid alone,3
Erythropoiesis-Stimulating Agents,Antianaemia medicines,Anaemia due to chronic disease,2
"Insulin (Analogue, Long-Acting)",Insulins,Type 2 diabetes mellitus,3
Chloramphenicol,Access group antibiotics,Bacterial meningitis,3
"Insulin (Analogue, Rapid-Acting)",Insulins,Type 1 diabetes mellitus,3
Metronidazole,Access group antibiotics,Peritoneal abscess (mild-moderate),3
Haemophilus Influenzae Type B Vaccine,Immunologicals > Vaccines,Need for immunization against single bacterial diseases,3
Respiratory Syncytial Virus Vaccine,Immunologicals > Vaccines,Need for immunization against certain single viral diseases,3
Micafungin,Antifungal medicines,Systemic or invasive candidosis,1
